external_id;name;description;price;brand;category;subcategory;gender;photos;ai_processed
_deurSo--rskTxePQN1MmXVgGt7Kpf549YXK7XOQ;Chanel 24B Балетки;Элегантные балетки Chanel из коллекции 24B в нежном абрикосовом оттенке. Модель дополнена фирменной застежкой в виде пряжки.\n\nРазмеры: 35-41;23000;3wxtez8ckauz7o1;nzg3vsvajpiv1e8;gquuvxk7z0ik5jn;Для женщин;"[""https://static.yeezyunique.ru/batches/9e905551-58ea-4f87-a56a-2cf783be3d51/_deurSo--rskTxePQN1MmXVgGt7Kpf549YXK7XOQ_0.jpg"",""https://static.yeezyunique.ru/batches/9e905551-58ea-4f87-a56a-2cf783be3d51/_deurSo--rskTxePQN1MmXVgGt7Kpf549YXK7XOQ_1.jpg"",""https://static.yeezyunique.ru/batches/9e905551-58ea-4f87-a56a-2cf783be3d51/_deurSo--rskTxePQN1MmXVgGt7Kpf549YXK7XOQ_2.jpg"",""https://static.yeezyunique.ru/batches/9e905551-58ea-4f87-a56a-2cf783be3d51/_deurSo--rskTxePQN1MmXVgGt7Kpf549YXK7XOQ_3.jpg"",""https://static.yeezyunique.ru/batches/9e905551-58ea-4f87-a56a-2cf783be3d51/_deurSo--rskTxePQN1MmXVgGt7Kpf549YXK7XOQ_4.jpg"",""https://static.yeezyunique.ru/batches/9e905551-58ea-4f87-a56a-2cf783be3d51/_deurSo--rskTxePQN1MmXVgGt7Kpf549YXK7XOQ_5.jpg"",""https://static.yeezyunique.ru/batches/9e905551-58ea-4f87-a56a-2cf783be3d51/_deurSo--rskTxePQN1MmXVgGt7Kpf549YXK7XOQ_6.jpg"",""https://static.yeezyunique.ru/batches/9e905551-58ea-4f87-a56a-2cf783be3d51/_deurSo--rskTxePQN1MmXVgGt7Kpf549YXK7XOQ_7.jpg"",""https://static.yeezyunique.ru/batches/9e905551-58ea-4f87-a56a-2cf783be3d51/_deurSo--rskTxePQN1MmXVgGt7Kpf549YXK7XOQ_8.jpg""]";true
_dbSrStVhhxYeW3XlNnlPsHfBMPWbS3QetLWdlzw;Chanel 24B Балетки;Элегантные балетки Chanel из коллекции 24B в белом цвете с фирменной застежкой. Модель выполнена из качественных материалов и идеально подходит для повседневного образа. Размеры: 35-41.;23000;3wxtez8ckauz7o1;nzg3vsvajpiv1e8;gquuvxk7z0ik5jn;Для женщин;"[""https://static.yeezyunique.ru/batches/9e905551-58ea-4f87-a56a-2cf783be3d51/_dbSrStVhhxYeW3XlNnlPsHfBMPWbS3QetLWdlzw_0.jpg"",""https://static.yeezyunique.ru/batches/9e905551-58ea-4f87-a56a-2cf783be3d51/_dbSrStVhhxYeW3XlNnlPsHfBMPWbS3QetLWdlzw_1.jpg"",""https://static.yeezyunique.ru/batches/9e905551-58ea-4f87-a56a-2cf783be3d51/_dbSrStVhhxYeW3XlNnlPsHfBMPWbS3QetLWdlzw_2.jpg"",""https://static.yeezyunique.ru/batches/9e905551-58ea-4f87-a56a-2cf783be3d51/_dbSrStVhhxYeW3XlNnlPsHfBMPWbS3QetLWdlzw_3.jpg"",""https://static.yeezyunique.ru/batches/9e905551-58ea-4f87-a56a-2cf783be3d51/_dbSrStVhhxYeW3XlNnlPsHfBMPWbS3QetLWdlzw_4.jpg"",""https://static.yeezyunique.ru/batches/9e905551-58ea-4f87-a56a-2cf783be3d51/_dbSrStVhhxYeW3XlNnlPsHfBMPWbS3QetLWdlzw_5.jpg"",""https://static.yeezyunique.ru/batches/9e905551-58ea-4f87-a56a-2cf783be3d51/_dbSrStVhhxYeW3XlNnlPsHfBMPWbS3QetLWdlzw_6.jpg"",""https://static.yeezyunique.ru/batches/9e905551-58ea-4f87-a56a-2cf783be3d51/_dbSrStVhhxYeW3XlNnlPsHfBMPWbS3QetLWdlzw_7.jpg"",""https://static.yeezyunique.ru/batches/9e905551-58ea-4f87-a56a-2cf783be3d51/_dbSrStVhhxYeW3XlNnlPsHfBMPWbS3QetLWdlzw_8.jpg""]";true
_dklrSKuHWxGXKM2bVZLhqbXclxX3OAYEsOPl_5g;Chanel 24B Балетки;Элегантные балетки Chanel из коллекции 24B, выполненные в классическом стеганом дизайне с фирменной деталью в виде застежки. Модель отличается высоким качеством исполнения и комфортной посадкой.\n\nРазмеры: 35-41;23000;3wxtez8ckauz7o1;nzg3vsvajpiv1e8;gquuvxk7z0ik5jn;Для женщин;"[""https://static.yeezyunique.ru/batches/9e905551-58ea-4f87-a56a-2cf783be3d51/_dklrSKuHWxGXKM2bVZLhqbXclxX3OAYEsOPl_5g_0.jpg"",""https://static.yeezyunique.ru/batches/9e905551-58ea-4f87-a56a-2cf783be3d51/_dklrSKuHWxGXKM2bVZLhqbXclxX3OAYEsOPl_5g_1.jpg"",""https://static.yeezyunique.ru/batches/9e905551-58ea-4f87-a56a-2cf783be3d51/_dklrSKuHWxGXKM2bVZLhqbXclxX3OAYEsOPl_5g_2.jpg"",""https://static.yeezyunique.ru/batches/9e905551-58ea-4f87-a56a-2cf783be3d51/_dklrSKuHWxGXKM2bVZLhqbXclxX3OAYEsOPl_5g_3.jpg"",""https://static.yeezyunique.ru/batches/9e905551-58ea-4f87-a56a-2cf783be3d51/_dklrSKuHWxGXKM2bVZLhqbXclxX3OAYEsOPl_5g_4.jpg"",""https://static.yeezyunique.ru/batches/9e905551-58ea-4f87-a56a-2cf783be3d51/_dklrSKuHWxGXKM2bVZLhqbXclxX3OAYEsOPl_5g_5.jpg"",""https://static.yeezyunique.ru/batches/9e905551-58ea-4f87-a56a-2cf783be3d51/_dklrSKuHWxGXKM2bVZLhqbXclxX3OAYEsOPl_5g_6.jpg"",""https://static.yeezyunique.ru/batches/9e905551-58ea-4f87-a56a-2cf783be3d51/_dklrSKuHWxGXKM2bVZLhqbXclxX3OAYEsOPl_5g_7.jpg"",""https://static.yeezyunique.ru/batches/9e905551-58ea-4f87-a56a-2cf783be3d51/_dklrSKuHWxGXKM2bVZLhqbXclxX3OAYEsOPl_5g_8.jpg""]";true
_dq0rSK_2drSGnAbkDiFT-5EsNVBKhCihHB_Czcg;Chanel 25C Балетки;Элегантные балетки Chanel из коллекции 25C, выполненные в классическом черно-белом цвете с изящным бантом и плиссированными деталями. Модель отличается утонченным дизайном и высоким качеством исполнения. Размеры: 35-41.;23000;3wxtez8ckauz7o1;nzg3vsvajpiv1e8;gquuvxk7z0ik5jn;Для женщин;"[""https://static.yeezyunique.ru/batches/9e905551-58ea-4f87-a56a-2cf783be3d51/_dq0rSK_2drSGnAbkDiFT-5EsNVBKhCihHB_Czcg_0.jpg"",""https://static.yeezyunique.ru/batches/9e905551-58ea-4f87-a56a-2cf783be3d51/_dq0rSK_2drSGnAbkDiFT-5EsNVBKhCihHB_Czcg_1.jpg"",""https://static.yeezyunique.ru/batches/9e905551-58ea-4f87-a56a-2cf783be3d51/_dq0rSK_2drSGnAbkDiFT-5EsNVBKhCihHB_Czcg_2.jpg"",""https://static.yeezyunique.ru/batches/9e905551-58ea-4f87-a56a-2cf783be3d51/_dq0rSK_2drSGnAbkDiFT-5EsNVBKhCihHB_Czcg_3.jpg"",""https://static.yeezyunique.ru/batches/9e905551-58ea-4f87-a56a-2cf783be3d51/_dq0rSK_2drSGnAbkDiFT-5EsNVBKhCihHB_Czcg_4.jpg"",""https://static.yeezyunique.ru/batches/9e905551-58ea-4f87-a56a-2cf783be3d51/_dq0rSK_2drSGnAbkDiFT-5EsNVBKhCihHB_Czcg_5.jpg"",""https://static.yeezyunique.ru/batches/9e905551-58ea-4f87-a56a-2cf783be3d51/_dq0rSK_2drSGnAbkDiFT-5EsNVBKhCihHB_Czcg_6.jpg"",""https://static.yeezyunique.ru/batches/9e905551-58ea-4f87-a56a-2cf783be3d51/_dq0rSK_2drSGnAbkDiFT-5EsNVBKhCihHB_Czcg_7.jpg"",""https://static.yeezyunique.ru/batches/9e905551-58ea-4f87-a56a-2cf783be3d51/_dq0rSK_2drSGnAbkDiFT-5EsNVBKhCihHB_Czcg_8.jpg""]";true
_dzurSiYnq0HuIiku2z0PIXvOUBLNXF51XQjJuGQ;Chanel 25C Балетки;Элегантные балетки Chanel из коллекции 25C, украшенные изящным бантом и выполненные в черном цвете с эффектной плиссировкой. Идеальный выбор для создания утонченного образа. Размеры: 35-41.;23000;3wxtez8ckauz7o1;nzg3vsvajpiv1e8;gquuvxk7z0ik5jn;Для женщин;"[""https://static.yeezyunique.ru/batches/9e905551-58ea-4f87-a56a-2cf783be3d51/_dzurSiYnq0HuIiku2z0PIXvOUBLNXF51XQjJuGQ_0.jpg"",""https://static.yeezyunique.ru/batches/9e905551-58ea-4f87-a56a-2cf783be3d51/_dzurSiYnq0HuIiku2z0PIXvOUBLNXF51XQjJuGQ_1.jpg"",""https://static.yeezyunique.ru/batches/9e905551-58ea-4f87-a56a-2cf783be3d51/_dzurSiYnq0HuIiku2z0PIXvOUBLNXF51XQjJuGQ_2.jpg"",""https://static.yeezyunique.ru/batches/9e905551-58ea-4f87-a56a-2cf783be3d51/_dzurSiYnq0HuIiku2z0PIXvOUBLNXF51XQjJuGQ_3.jpg"",""https://static.yeezyunique.ru/batches/9e905551-58ea-4f87-a56a-2cf783be3d51/_dzurSiYnq0HuIiku2z0PIXvOUBLNXF51XQjJuGQ_4.jpg"",""https://static.yeezyunique.ru/batches/9e905551-58ea-4f87-a56a-2cf783be3d51/_dzurSiYnq0HuIiku2z0PIXvOUBLNXF51XQjJuGQ_5.jpg"",""https://static.yeezyunique.ru/batches/9e905551-58ea-4f87-a56a-2cf783be3d51/_dzurSiYnq0HuIiku2z0PIXvOUBLNXF51XQjJuGQ_6.jpg"",""https://static.yeezyunique.ru/batches/9e905551-58ea-4f87-a56a-2cf783be3d51/_dzurSiYnq0HuIiku2z0PIXvOUBLNXF51XQjJuGQ_7.jpg"",""https://static.yeezyunique.ru/batches/9e905551-58ea-4f87-a56a-2cf783be3d51/_dzurSiYnq0HuIiku2z0PIXvOUBLNXF51XQjJuGQ_8.jpg""]";true
_daJrSZVCCerLZbG4lSeozLZLoN6OBFZ-2E_AeRQ;Chanel 22C Балетки;Элегантные балетки из коллекции 22C в нежном розовом оттенке. Модель выполнена из качественного материала с фирменным логотипом. Размеры: 35, 35.5, 36, 36.5, 37.5, 38.5.;23000;3wxtez8ckauz7o1;nzg3vsvajpiv1e8;gquuvxk7z0ik5jn;Для женщин;"[""https://static.yeezyunique.ru/batches/9e905551-58ea-4f87-a56a-2cf783be3d51/_daJrSZVCCerLZbG4lSeozLZLoN6OBFZ-2E_AeRQ_0.jpg"",""https://static.yeezyunique.ru/batches/9e905551-58ea-4f87-a56a-2cf783be3d51/_daJrSZVCCerLZbG4lSeozLZLoN6OBFZ-2E_AeRQ_1.jpg"",""https://static.yeezyunique.ru/batches/9e905551-58ea-4f87-a56a-2cf783be3d51/_daJrSZVCCerLZbG4lSeozLZLoN6OBFZ-2E_AeRQ_2.jpg"",""https://static.yeezyunique.ru/batches/9e905551-58ea-4f87-a56a-2cf783be3d51/_daJrSZVCCerLZbG4lSeozLZLoN6OBFZ-2E_AeRQ_3.jpg"",""https://static.yeezyunique.ru/batches/9e905551-58ea-4f87-a56a-2cf783be3d51/_daJrSZVCCerLZbG4lSeozLZLoN6OBFZ-2E_AeRQ_4.jpg"",""https://static.yeezyunique.ru/batches/9e905551-58ea-4f87-a56a-2cf783be3d51/_daJrSZVCCerLZbG4lSeozLZLoN6OBFZ-2E_AeRQ_5.jpg"",""https://static.yeezyunique.ru/batches/9e905551-58ea-4f87-a56a-2cf783be3d51/_daJrSZVCCerLZbG4lSeozLZLoN6OBFZ-2E_AeRQ_6.jpg"",""https://static.yeezyunique.ru/batches/9e905551-58ea-4f87-a56a-2cf783be3d51/_daJrSZVCCerLZbG4lSeozLZLoN6OBFZ-2E_AeRQ_7.jpg"",""https://static.yeezyunique.ru/batches/9e905551-58ea-4f87-a56a-2cf783be3d51/_daJrSZVCCerLZbG4lSeozLZLoN6OBFZ-2E_AeRQ_8.jpg""]";true
_dllrSna4Eu-svOntfU7O82s26sO0K3IkhMoNkpw;Chanel 23P Балетки;Элегантные балетки Chanel из коллекции 23P, выполненные из изысканного плетеного кружева. Идеальный выбор для создания утонченного и женственного образа.\n\nРазмеры: 34, 35, 35.5, 36, 36.5, 37.5, 38, 38.5.;23000;3wxtez8ckauz7o1;nzg3vsvajpiv1e8;gquuvxk7z0ik5jn;Для женщин;"[""https://static.yeezyunique.ru/batches/9e905551-58ea-4f87-a56a-2cf783be3d51/_dllrSna4Eu-svOntfU7O82s26sO0K3IkhMoNkpw_0.jpg"",""https://static.yeezyunique.ru/batches/9e905551-58ea-4f87-a56a-2cf783be3d51/_dllrSna4Eu-svOntfU7O82s26sO0K3IkhMoNkpw_1.jpg"",""https://static.yeezyunique.ru/batches/9e905551-58ea-4f87-a56a-2cf783be3d51/_dllrSna4Eu-svOntfU7O82s26sO0K3IkhMoNkpw_2.jpg"",""https://static.yeezyunique.ru/batches/9e905551-58ea-4f87-a56a-2cf783be3d51/_dllrSna4Eu-svOntfU7O82s26sO0K3IkhMoNkpw_3.jpg"",""https://static.yeezyunique.ru/batches/9e905551-58ea-4f87-a56a-2cf783be3d51/_dllrSna4Eu-svOntfU7O82s26sO0K3IkhMoNkpw_4.jpg"",""https://static.yeezyunique.ru/batches/9e905551-58ea-4f87-a56a-2cf783be3d51/_dllrSna4Eu-svOntfU7O82s26sO0K3IkhMoNkpw_5.jpg"",""https://static.yeezyunique.ru/batches/9e905551-58ea-4f87-a56a-2cf783be3d51/_dllrSna4Eu-svOntfU7O82s26sO0K3IkhMoNkpw_6.jpg"",""https://static.yeezyunique.ru/batches/9e905551-58ea-4f87-a56a-2cf783be3d51/_dllrSna4Eu-svOntfU7O82s26sO0K3IkhMoNkpw_7.jpg"",""https://static.yeezyunique.ru/batches/9e905551-58ea-4f87-a56a-2cf783be3d51/_dllrSna4Eu-svOntfU7O82s26sO0K3IkhMoNkpw_8.jpg""]";true
_dhNrSGH1akGrhpnspWha0kY991cLiC_vvyfSxyA;Chanel Сандалии с камелией и бантом;Элегантные сандалии Chanel, украшенные фирменным декором в виде камелии и бантом. Модель на устойчивом каблуке станет изысканным дополнением вашего летнего образа.\n\nРазмеры: 36, 37, 38, 39, 40, 41;23000;3wxtez8ckauz7o1;nzg3vsvajpiv1e8;rbf3iprt2z3owjd;Для женщин;"[""https://static.yeezyunique.ru/batches/9e905551-58ea-4f87-a56a-2cf783be3d51/_dhNrSGH1akGrhpnspWha0kY991cLiC_vvyfSxyA_0.jpg"",""https://static.yeezyunique.ru/batches/9e905551-58ea-4f87-a56a-2cf783be3d51/_dhNrSGH1akGrhpnspWha0kY991cLiC_vvyfSxyA_1.jpg"",""https://static.yeezyunique.ru/batches/9e905551-58ea-4f87-a56a-2cf783be3d51/_dhNrSGH1akGrhpnspWha0kY991cLiC_vvyfSxyA_2.jpg"",""https://static.yeezyunique.ru/batches/9e905551-58ea-4f87-a56a-2cf783be3d51/_dhNrSGH1akGrhpnspWha0kY991cLiC_vvyfSxyA_3.jpg"",""https://static.yeezyunique.ru/batches/9e905551-58ea-4f87-a56a-2cf783be3d51/_dhNrSGH1akGrhpnspWha0kY991cLiC_vvyfSxyA_4.jpg"",""https://static.yeezyunique.ru/batches/9e905551-58ea-4f87-a56a-2cf783be3d51/_dhNrSGH1akGrhpnspWha0kY991cLiC_vvyfSxyA_5.jpg"",""https://static.yeezyunique.ru/batches/9e905551-58ea-4f87-a56a-2cf783be3d51/_dhNrSGH1akGrhpnspWha0kY991cLiC_vvyfSxyA_6.jpg"",""https://static.yeezyunique.ru/batches/9e905551-58ea-4f87-a56a-2cf783be3d51/_dhNrSGH1akGrhpnspWha0kY991cLiC_vvyfSxyA_7.jpg"",""https://static.yeezyunique.ru/batches/9e905551-58ea-4f87-a56a-2cf783be3d51/_dhNrSGH1akGrhpnspWha0kY991cLiC_vvyfSxyA_8.jpg""]";true
_disrSxzKYlXk4zn7WlPPGy196MompHxZKkaPkYw;Chanel Сандалии с жемчугом;Элегантные сандалии Chanel, украшенные фирменным жемчужным декором. Идеальный выбор для создания стильного летнего образа.\n\nРазмеры: 34, 35, 36, 37, 38, 39, 40, 41.;23000;3wxtez8ckauz7o1;nzg3vsvajpiv1e8;rbf3iprt2z3owjd;Для женщин;"[""https://static.yeezyunique.ru/batches/9e905551-58ea-4f87-a56a-2cf783be3d51/_disrSxzKYlXk4zn7WlPPGy196MompHxZKkaPkYw_0.jpg"",""https://static.yeezyunique.ru/batches/9e905551-58ea-4f87-a56a-2cf783be3d51/_disrSxzKYlXk4zn7WlPPGy196MompHxZKkaPkYw_1.jpg"",""https://static.yeezyunique.ru/batches/9e905551-58ea-4f87-a56a-2cf783be3d51/_disrSxzKYlXk4zn7WlPPGy196MompHxZKkaPkYw_2.jpg"",""https://static.yeezyunique.ru/batches/9e905551-58ea-4f87-a56a-2cf783be3d51/_disrSxzKYlXk4zn7WlPPGy196MompHxZKkaPkYw_3.jpg"",""https://static.yeezyunique.ru/batches/9e905551-58ea-4f87-a56a-2cf783be3d51/_disrSxzKYlXk4zn7WlPPGy196MompHxZKkaPkYw_4.jpg"",""https://static.yeezyunique.ru/batches/9e905551-58ea-4f87-a56a-2cf783be3d51/_disrSxzKYlXk4zn7WlPPGy196MompHxZKkaPkYw_5.jpg"",""https://static.yeezyunique.ru/batches/9e905551-58ea-4f87-a56a-2cf783be3d51/_disrSxzKYlXk4zn7WlPPGy196MompHxZKkaPkYw_6.jpg"",""https://static.yeezyunique.ru/batches/9e905551-58ea-4f87-a56a-2cf783be3d51/_disrSxzKYlXk4zn7WlPPGy196MompHxZKkaPkYw_7.jpg"",""https://static.yeezyunique.ru/batches/9e905551-58ea-4f87-a56a-2cf783be3d51/_disrSxzKYlXk4zn7WlPPGy196MompHxZKkaPkYw_8.jpg""]";true
_dd2rSd8GGafWk2uARA5MzcPMQiFQZt8QpjFbrAQ;Chanel 24S Кроссовки;Стильные кроссовки Chanel из коллекции 24S в классическом белом цвете. Модель выполнена из качественных материалов, обеспечивающих комфорт при повседневной носке.\n\nРазмеры: 35, 36, 37, 38, 39, 40, 41.;23000;3wxtez8ckauz7o1;nzg3vsvajpiv1e8;ll3hofpd5wqxr81;Для женщин;"[""https://static.yeezyunique.ru/batches/9e905551-58ea-4f87-a56a-2cf783be3d51/_dd2rSd8GGafWk2uARA5MzcPMQiFQZt8QpjFbrAQ_0.jpg"",""https://static.yeezyunique.ru/batches/9e905551-58ea-4f87-a56a-2cf783be3d51/_dd2rSd8GGafWk2uARA5MzcPMQiFQZt8QpjFbrAQ_1.jpg"",""https://static.yeezyunique.ru/batches/9e905551-58ea-4f87-a56a-2cf783be3d51/_dd2rSd8GGafWk2uARA5MzcPMQiFQZt8QpjFbrAQ_2.jpg"",""https://static.yeezyunique.ru/batches/9e905551-58ea-4f87-a56a-2cf783be3d51/_dd2rSd8GGafWk2uARA5MzcPMQiFQZt8QpjFbrAQ_3.jpg"",""https://static.yeezyunique.ru/batches/9e905551-58ea-4f87-a56a-2cf783be3d51/_dd2rSd8GGafWk2uARA5MzcPMQiFQZt8QpjFbrAQ_4.jpg"",""https://static.yeezyunique.ru/batches/9e905551-58ea-4f87-a56a-2cf783be3d51/_dd2rSd8GGafWk2uARA5MzcPMQiFQZt8QpjFbrAQ_5.jpg"",""https://static.yeezyunique.ru/batches/9e905551-58ea-4f87-a56a-2cf783be3d51/_dd2rSd8GGafWk2uARA5MzcPMQiFQZt8QpjFbrAQ_6.jpg"",""https://static.yeezyunique.ru/batches/9e905551-58ea-4f87-a56a-2cf783be3d51/_dd2rSd8GGafWk2uARA5MzcPMQiFQZt8QpjFbrAQ_7.jpg"",""https://static.yeezyunique.ru/batches/9e905551-58ea-4f87-a56a-2cf783be3d51/_dd2rSd8GGafWk2uARA5MzcPMQiFQZt8QpjFbrAQ_8.jpg""]";true
